Iterations: 50
Function Evaluations Limit: 150000
Population: 50

Prides Length: 4

Percent Nomads: 0.2
Percent Roaming: 0.2
Percent Sex: 0.8

Mating Rate: 0.3
Mutation Probability: 0.2
Immigration Rate: 0.4

Dimensions: 1
N-Dimension Space: -5:5

Fitness Iterations:
0.341396
0.000631323, 0.000125856, 0.0386984, 0.00692222, 0.0219381, 0.0022292, 0.000180058, 1.13483, 0.0656444, 0.33514, 0.00566715, 0.00500451, 1.56114, 0.208152, 0.0663044, 0.44615, 16.0529, 0.0707678, 0.248632, 0.0421932, 0.00674783, 0.00246771, 1.24564, 0.00161241, 1.87424, 0.6336, 0.551253, 0.108968, 0.341396, 0.0916961, 0.000134952, 0.000483548, 6.40903, 0.0435284, 0.0119135, 0.0166843, 8.54618, 0.0467232, 0.252464, 0.153645, 0.270369, 0.0896741, 0.237964, 0.207429, 0.0431201, 0.117199, 0.0543244, 0.0355806, 4.22342, 7.08363, 

0.000631323, 0.000125856, 0.0022292, 0.000180058, 1.13483, 0.0656444, 0.33514, 0.153645, 0.00692222, 0.248632, 0.00485746, 0.00385343, 0.208152, 0.0663044, 0.0421932, 0.0157054, 4.62716, 0.0467232, 0.0219381, 0.44615, 0.00674783, 0.00246771, 1.87424, 0.257619, 0.108968, 0.0916961, 4.60767, 0.00161241, 0.0707678, 0.252464, 0.000134952, 0.000483548, 6.40903, 0.0435284, 0.0119135, 0.0166843, 8.54618, 0.551253, 0.0386984, 0.341396, 0.0896741, 0.237964, 0.207429, 0.0431201, 0.117199, 0.0543244, 0.0355806, 0.00500451, 1.24564, 1.56114, 

0.000631323, 0.000125856, 0.000180058, 1.13483, 0.0656444, 0.33514, 8.94508, 0.0707678, 0.0467232, 0.257619, 0.00485746, 0.00385343, 0.208152, 0.0198641, 0.0421932, 4.62716, 0.44615, 0.0916961, 0.0219381, 0.00692222, 0.00500451, 0.000785589, 0.108968, 4.60767, 0.00161241, 0.252464, 5.76633, 0.0022292, 0.248632, 0.153645, 0.000134952, 0.000483548, 0.0435284, 0.0119135, 0.0166843, 0.551253, 27.6419, 0.0157054, 0.341396, 0.0386984, 0.0896741, 0.237964, 0.207429, 0.0431201, 0.117199, 0.0543244, 0.0355806, 0.00674783, 0.9967, 1.24564, 

0.000631323, 0.000125856, 0.000180058, 1.13483, 0.0656444, 0.0467232, 0.257619, 0.0386984, 0.0104635, 0.208152, 0.0023589, 0.00298233, 0.0421932, 0.0916961, 0.0219381, 0.00692222, 21.8068, 0.0707678, 0.00161241, 0.0435284, 0.00485746, 0.000785589, 5.76633, 0.0022292, 0.248632, 4.58352, 10.4101, 0.153645, 0.0166843, 0.0119135, 0.000134952, 0.000483548, 25, 0.0157054, 0.341396, 22.022, 10.23, 0.00496113, 0.108968, 0.0198641, 0.0896741, 0.00603586, 0.117199, 0.0543244, 0.0355806, 0.00674783, 0.0356191, 0.00500451, 0.224247, 0.33514, 

0.00033096, 7.66982e-05, 1.13483, 0.0656444, 0.257619, 0.0386984, 0.208152, 0.00161241, 0.00496113, 0.108968, 0.00185618, 0.00298233, 0.0916961, 0.0219381, 0.0435284, 9.94453, 13.4337, 0.0467232, 0.0022292, 0.000180058, 0.00485746, 0.000785589, 7.92467, 0.153645, 0.0166843, 0.0119135, 12.4533, 0.0143937, 0.00692222, 0.0421932, 0.000134952, 0.000134699, 25, 0.0157054, 0.749841, 0.0198641, 0.548038, 0.224247, 0.0707678, 0.0104635, 0.0896741, 0.00603586, 0.0543244, 0.0355806, 0.00674783, 0.0356191, 0.00500451, 0.0173255, 0.248632, 0.33514, 

