Iterations: 200
Function Evaluations Limit: 150000
Population: 100

Prides Length: 4

Percent Nomads: 0.2
Percent Roaming: 0.8
Percent Sex: 0.2

Mating Rate: 0.6
Mutation Probability: 0.8
Immigration Rate: 0.2

Percent Group Influence: 0.8
Annealing On: true
Ranked Selection Pressure: 2
Near To Best Random Pressure: 2

Dimensions: 2
N-Dimension Space: -10:10

Fitness Iterations:
14.3201 (Initial Best)

0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.77636e-15, 7.97903, 1.77636e-15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.77636e-15, 3.55271e-15, 3.55271e-15, 1.33227e-13, 2.4869e-13, 2.58307e-08, 1.10458e-06, 1.89944, 5.71369e-10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.77636e-15, 5.32907e-15, 4.9738e-14, 6.39488e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.6529e-11, 1.08166e-08, 1.7405e-08, 4.33306e-09, 0, 1.77636e-15, 1.77636e-15, 0, 0, 0, 1.77636e-15, 1.77636e-15, 1.77636e-15, 3.55271e-15, 3.55271e-15, 3.55271e-15, 5.32907e-15, 2.13163e-14, 1.20792e-13, 1.7053e-13, 1.98952e-13, 6.91003e-13, 7.86926e-13, 2.7196e-12, 

0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.77636e-15, 7.97903, NaN, 5.15326, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.55271e-15, 1.61865e-10, 6.90762e-09, 4.4395e-08, 1.89944, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.55271e-15, 4.9738e-14, 11.9354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5.33085e-12, 2.35278e-10, 1.08166e-08, 1.18074e-11, 0, 1.77636e-15, 1.77636e-15, 1.77636e-15, 0, 0, 0, 0, 1.77636e-15, 1.77636e-15, 1.77636e-15, 1.77636e-15, 1.77636e-15, 3.55271e-15, 3.55271e-15, 3.55271e-15, 3.55271e-15, 5.32907e-15, 5.32907e-15, 2.13163e-14, 

0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.77636e-15, 1.43189, 7.97903, 15.7099, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.44826e-11, 1.03249e-09, 4.4395e-08, 1.28573e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2.31231, NaN, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.01981e-13, 2.35278e-10, 1.08166e-08, 2.0961e-13, 0, 1.77636e-15, 1.77636e-15, 1.77636e-15, 0, 0, 0, 0, 0, 1.77636e-15, 1.77636e-15, 1.77636e-15, 1.77636e-15, 1.77636e-15, 1.77636e-15, 1.77636e-15, 3.55271e-15, 3.55271e-15, 3.55271e-15, 3.55271e-15, 

0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7.97903, 15.7099, 0, 0.00238599, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.18661e-12, 1.28573e-11, 2.45482e-10, 2.77112e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0663848, NaN, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9.33511e-11, 2.35278e-10, 1.94369e-11, 1.95399e-14, 0, 0, 0, 1.77636e-15, 0, 0, 0, 0, 0, 0, 1.77636e-15, 1.77636e-15, 1.77636e-15, 1.77636e-15, 1.77636e-15, 1.77636e-15, 1.77636e-15, 1.77636e-15, 1.77636e-15, 1.77636e-15, 

0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.00238599, 0, 15.0146, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6.39488e-14, 1.18661e-12, 2.59295e-11, 1.06581e-14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NaN, NaN, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.55271e-15, 1.94369e-11, 0, 9.78773e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.77636e-15, 1.77636e-15, 1.77636e-15, 1.77636e-15, 1.77636e-15, 1.77636e-15, 1.77636e-15, 1.77636e-15, 1.77636e-15, 

0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15.0146, 0, 5.89889e-05, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.06581e-14, 1.42109e-14, 1.73195e-12, 6.75016e-13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, NaN, NaN, NaN, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.55271e-15, 2.41585e-13, 1.94369e-11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1.77636e-15, 1.77636e-15, 1.77636e-15, 1.77636e-15, 1.77636e-15, 
