Iterations: 50
Function Evaluations Limit: 150000
Population: 50

Prides Length: 4

Percent Nomads: 0.2
Percent Roaming: 0.2
Percent Sex: 0.8

Mating Rate: 0.3
Mutation Probability: 0.2
Immigration Rate: 0.4

Dimensions: 1
N-Dimension Space: -5:5

Fitness Iterations:
4.71587e-07
3.24643e-06, 3.2931e-06, 3.26695e-06, 8.04353e-06, 3.7894e-07, 4.62122e-06, 0.740052, 0.000572595, 0.000288029, 4.94201e-05, 6.81188e-07, 3.38246e-06, 8.10135e-06, 0.000118355, 0.000527985, 5.43864, 0.134044, 3.10775e-07, 7.17918e-05, 9.83968e-05, 2.90772e-07, 3.95608e-07, 0.00202056, 5.88117e-05, 0.149432, 0.719308, 4.40201e-07, 0.0002793, 0.000307004, 0.000212029, 1.30188e-08, 4.02476e-07, 4.53007e-06, 0.81998, 0.999384, 6.95023e-05, 10.3671, 0.000324449, 2.1029e-07, 3.28786e-06, 0.000339786, 0.000202323, 0.0001005, 3.09313e-05, 8.44605e-05, 1.39158e-05, 7.93414e-05, 4.27435e-06, 0.0010692, 0.00147001, 

1.66557e-07, 3.82726e-07, 3.26695e-06, 8.04353e-06, 0.740052, 0.000572595, 0.000288029, 8.10135e-06, 0.000527985, 3.28786e-06, 6.81188e-07, 3.38246e-06, 0.000118355, 0.134044, 7.17918e-05, 9.83968e-05, 0.537668, 4.62122e-06, 4.67204e-05, 6.95023e-05, 2.90772e-07, 2.57531e-07, 5.88117e-05, 0.719308, 2.17302e-07, 0.0002793, 2.47918e-07, 0.000212029, 3.10775e-07, 0.000324449, 1.30188e-08, 2.69019e-07, 4.53007e-06, 0.506589, 2.1029e-07, 0.243099, 2.22709, 0.000307004, 3.7894e-07, 4.94201e-05, 0.0001005, 3.09313e-05, 8.44605e-05, 1.39158e-05, 7.93414e-05, 4.27435e-06, 1.95057e-05, 3.2931e-06, 0.0010692, 0.00147001, 

1.66557e-07, 3.82726e-07, 3.26695e-06, 0.000288029, 3.28786e-06, 0.429525, 1.77874, 2.1029e-07, 8.10135e-06, 0.000324449, 6.81188e-07, 3.2931e-06, 0.000118355, 4.62122e-06, 4.67204e-05, 6.95023e-05, 1.22135, 8.04353e-06, 4.53007e-06, 2.47918e-07, 2.90772e-07, 2.57531e-07, 5.88117e-05, 2.17302e-07, 0.000212029, 3.10775e-07, 1.58307, 0.0002793, 4.94201e-05, 9.83968e-05, 1.30188e-08, 2.69019e-07, 0.506589, 0.243099, 2.22709, 0.000307004, 3.7894e-07, 0.000527985, 7.17918e-05, 7.03725e-05, 3.09313e-05, 8.44605e-05, 1.39158e-05, 7.93414e-05, 4.27435e-06, 1.95057e-05, 3.38246e-06, 9.31492e-05, 0.000572595, 0.0010692, 

1.66557e-07, 3.82726e-07, 3.26695e-06, 0.000288029, 3.28786e-06, 8.10135e-06, 0.298442, 7.17918e-05, 3.10775e-07, 5.88117e-05, 6.11167e-07, 3.2931e-06, 0.000118355, 6.95023e-05, 8.04353e-06, 4.53007e-06, 0.324603, 4.62122e-06, 0.000307004, 1.94568e-07, 2.90772e-07, 2.57531e-07, 0.000212029, 1.58307, 0.0002793, 9.83968e-05, 0.11272, 2.17302e-07, 2.1029e-07, 4.94201e-05, 1.30188e-08, 2.69019e-07, 0.506589, 0.243099, 2.22709, 3.7894e-07, 3.52971, 4.67204e-05, 2.47918e-07, 7.03725e-05, 3.09313e-05, 8.44605e-05, 1.39158e-05, 7.93414e-05, 4.27435e-06, 1.95057e-05, 3.38246e-06, 9.31492e-05, 0.000324449, 0.000527985, 

1.66557e-07, 2.87116e-07, 3.28786e-06, 0.298442, 7.17918e-05, 3.10775e-07, 5.88117e-05, 0.0002793, 4.67204e-05, 4.62122e-06, 6.11167e-07, 2.65297e-06, 0.000118355, 4.53007e-06, 1.94568e-07, 0.700646, 1.33779, 7.03725e-05, 3.75928e-05, 3.26695e-06, 2.10331e-07, 2.57531e-07, 0.000212029, 9.83968e-05, 0.000124658, 2.17302e-07, 4.94201e-05, 8.10135e-06, 2.86248e-07, 8.04353e-06, 1.30188e-08, 2.60205e-07, 0.506589, 0.243099, 0.576763, 3.7894e-07, 4.45335, 2.47918e-07, 2.1029e-07, 6.95023e-05, 3.09313e-05, 1.39158e-05, 7.93414e-05, 4.27435e-06, 1.95057e-05, 3.38246e-06, 3.82726e-07, 3.0435e-05, 0.000288029, 0.000307004, 

