Iterations: 50
Function Evaluations Limit: 150000
Population: 50

Prides Length: 4

Percent Nomads: 0.2
Percent Roaming: 0.2
Percent Sex: 0.8

Mating Rate: 0.3
Mutation Probability: 0.2
Immigration Rate: 0.4

Dimensions: 1
N-Dimension Space: -5:5

Fitness Iterations:
0.00651352
1.77585e-05, 1.55923e-09, 0.0038326, 0.00287418, 0.00107648, 0.000112229, 2.30862, 0.000157366, 0.00252526, 0.00465504, 0.000402213, 0.000406105, 0.129655, 0.0106369, 0.00468568, 7.28129e-07, 0.399047, 5.07556e-05, 0.000912939, 0.0069855, 7.6166e-08, 2.16732e-05, 0.753689, 1.58094, 2.7089e-05, 0.822217, 2.42796, 0.000421594, 0.00454868, 9.53742e-08, 0.00014154, 0.00012977, 0.00493686, 0.00158063, 2.24918e-05, 0.00139711, 6.57056, 0.00197071, 0.00495554, 0.00176783, 0.00289309, 0.00126518, 0.00117039, 0.00315336, 0.000465228, 0.000905011, 0.00303153, 0.0019604, 0.00711008, 0.00784132, 

1.14582e-05, 1.55923e-09, 0.00287418, 0.00107648, 2.13448e-11, 0.000157366, 0.0395612, 0.00465504, 0.0038326, 0.00252526, 0.000402213, 0.000406105, 0.00468568, 7.28129e-07, 0.399047, 5.07556e-05, 3.81446, 0.00359939, 2.24918e-05, 0.000421594, 7.6166e-08, 1.36555e-06, 0.753689, 2.7089e-05, 2.42796, 9.53742e-08, 5.84151, 0.00197071, 0.000300645, 0.000912939, 0.00014154, 0.00012977, 1.51864e-05, 0.00139711, 0.00495554, 0.00176783, 3.14553, 0.0069855, 0.000201965, 0.00493686, 0.00289309, 0.00126518, 0.00117039, 0.000465228, 0.000905011, 0.00303153, 0.0019604, 0.00270604, 0.00711008, 0.00784132, 

1.14582e-05, 1.55923e-09, 0.00287418, 0.00107648, 0.000157366, 0.0395612, 0.00465504, 0.000912939, 0.00139711, 0.0038326, 0.000402213, 8.27913e-05, 0.00468568, 5.07556e-05, 0.00359939, 0.000421594, 7.77861, 0.000201965, 0.00252526, 2.13448e-11, 7.6166e-08, 1.36555e-06, 0.753689, 2.7089e-05, 2.42796, 0.00197071, 19.4043, 9.53742e-08, 0.000300645, 1.51864e-05, 0.00014154, 0.00012977, 0.00495554, 0.00176783, 3.14553, 0.00493686, 2.87733, 7.28129e-07, 0.0069855, 2.24918e-05, 0.00289309, 0.00126518, 0.00117039, 0.000465228, 0.000905011, 0.00303153, 0.0019604, 0.00270604, 0.00711008, 0.00784132, 

1.14582e-05, 1.55923e-09, 0.00287418, 0.00107648, 0.000157366, 0.0395612, 0.00465504, 0.000606865, 0.00252526, 0.000912939, 8.27913e-05, 1.74222e-06, 5.07556e-05, 0.000421594, 7.77861, 0.000201965, 3.55371e-06, 0.000300645, 0.00359939, 9.53742e-08, 7.6166e-08, 1.36555e-06, 0.753689, 2.7089e-05, 0.412654, 1.51864e-05, 0.586622, 7.28129e-07, 0.00169617, 0.00197071, 0.00014154, 8.41119e-05, 0.00495554, 0.00176783, 3.14553, 0.00493686, 5.95368, 2.24918e-05, 0.00139711, 2.13448e-11, 0.00126518, 0.00117039, 0.000465228, 0.000905011, 0.0019604, 0.00270604, 0.000220157, 0.000240245, 0.00468568, 0.0069855, 

1.14582e-05, 1.55923e-09, 2.32868e-05, 0.00107648, 0.00252526, 0.000347915, 2.04141, 0.000606865, 0.000300645, 0.00197071, 8.27913e-05, 4.15071e-07, 5.07556e-05, 0.000421594, 3.55371e-06, 9.53742e-08, 4.3947, 0.00465504, 2.13448e-11, 0.00359939, 7.6166e-08, 1.36555e-06, 1.51864e-05, 7.28129e-07, 0.00169617, 0.195318, 0.000330025, 2.24918e-05, 0.000201965, 0.00468568, 0.00014154, 8.41119e-05, 0.00495554, 0.00176783, 5.95368, 0.00139711, 0.979068, 0.000157366, 2.7089e-05, 0.000912939, 0.00126518, 0.00117039, 0.000465228, 0.000905011, 0.000220157, 0.000240245, 0.000199314, 0.000702359, 0.00493686, 0.0069855, 

1.14582e-05, 1.55923e-09, 0.00107648, 0.00252526, 2.04141, 0.000606865, 0.000300645, 3.55371e-06, 0.00176783, 7.28129e-07, 5.28776e-05, 4.15071e-07, 5.07556e-05, 0.000421594, 0.00465504, 2.13448e-11, 4.45201, 2.7089e-05, 0.000157366, 2.24918e-05, 7.6166e-08, 1.36555e-06, 1.51864e-05, 0.00169617, 0.167786, 0.00468568, 0.0536551, 2.32868e-05, 0.000330025, 9.53742e-08, 6.97081e-06, 1.59146e-06, 0.00495554, 1.70992, 0.00139711, 0.000912939, 0.547226, 0.000201965, 0.00197071, 9.61698e-08, 0.00117039, 0.000465228, 0.000905011, 0.000220157, 0.000240245, 0.000199314, 0.000702359, 0.000699882, 0.00204077, 0.00230719, 

7.91348e-06, 1.55923e-09, 0.00107648, 0.00252526, 0.000606865, 0.000300645, 1.07386, 0.00197071, 2.32868e-05, 3.55371e-06, 3.36728e-05, 4.15071e-07, 2.13448e-11, 4.45201, 2.7089e-05, 0.000157366, 6.23708, 2.24918e-05, 0.000201965, 4.69211e-06, 7.6166e-08, 1.36555e-06, 6.47969e-05, 0.0536551, 0.000330025, 9.53742e-08, 0.557861, 7.28129e-07, 5.07556e-05, 0.00176783, 3.28399e-06, 1.59146e-06, 0.00495554, 0.00139711, 1.36559e-05, 0.547226, 6.77676, 1.51864e-05, 0.000421594, 9.61698e-08, 0.00117039, 0.000465228, 0.000905011, 0.000220157, 0.000240245, 0.000199314, 0.000702359, 0.000699882, 0.00204077, 0.00230719, 

7.91348e-06, 1.55923e-09, 0.000606865, 0.000300645, 1.07386, 2.32868e-05, 3.55371e-06, 6.47969e-05, 0.000906271, 4.69211e-06, 1.03372e-06, 2.86453e-07, 4.45201, 2.7089e-05, 2.24918e-05, 0.000201965, 0.713638, 0.00197071, 2.13448e-11, 0.00204077, 7.6166e-08, 1.36555e-06, 0.0536551, 0.000330025, 7.28129e-07, 5.07556e-05, 0.00176783, 9.53742e-08, 0.00107648, 0.00252526, 3.28399e-06, 1.59146e-06, 0.00495554, 0.00139711, 1.36559e-05, 0.000421594, 9.61698e-08, 0.000157366, 1.51864e-05, 0.00230719, 0.00117039, 0.000465228, 0.000905011, 0.000220157, 0.000240245, 0.000199314, 0.000702359, 0.000699882, 0.383799, 0.50041, 

7.91348e-06, 1.55923e-09, 0.000606865, 1.07386, 2.32868e-05, 2.11206, 9.48248e-05, 4.69211e-06, 9.61698e-08, 6.47969e-05, 1.63049e-07, 2.86453e-07, 0.111501, 2.13448e-11, 0.00204077, 24.4949, 0.0228101, 9.53742e-08, 5.07556e-05, 0.000300645, 7.6166e-08, 1.34663e-08, 0.000330025, 7.28129e-07, 0.000306146, 0.00252526, 1.93312, 2.7089e-05, 0.000201965, 3.55371e-06, 3.28399e-06, 1.59146e-06, 0.00495554, 0.00139711, 1.36559e-05, 1.51864e-05, 0.774871, 0.000157366, 2.24918e-05, 0.000421594, 0.00117039, 0.000465228, 0.000905011, 0.000220157, 0.000240245, 0.000199314, 0.000702359, 0.000699882, 0.000906271, 0.00107648, 

7.91348e-06, 1.55923e-09, 0.000606865, 0.0644216, 2.32868e-05, 9.48248e-05, 4.35605, 1.73219e-05, 0.000906271, 7.28129e-07, 1.63049e-07, 2.35056e-07, 0.00204077, 0.0228101, 9.53742e-08, 5.07556e-05, 0.000300645, 2.7089e-05, 0.00139711, 9.61698e-08, 7.6166e-08, 1.34663e-08, 0.000330025, 0.000306146, 1.93312, 0.000201965, 3.55371e-06, 2.13448e-11, 6.47969e-05, 0.00107648, 3.28399e-06, 1.59146e-06, 0.00495554, 1.51864e-05, 2.24918e-05, 0.000421594, 0.0931081, 1.36559e-05, 4.69211e-06, 7.88649e-05, 0.00117039, 0.000465228, 0.000905011, 0.000220157, 0.000240245, 0.000199314, 0.000702359, 0.000699882, 0.00252526, 0.0418853, 

